neon_siteID,huc2,huc8,states,name
ABBY,WBD_17_HU2,17080002,WA,Lewis
ABBY,WBD_17_HU2,17080001,"OR,WA",Lower Columbia-Sandy
ABBY,WBD_17_HU2,17080003,"OR,WA",Lower Columbia-Clatskanie
ARIK,WBD_10_HU2,10250001,"CO,KS,NE",Arikaree
BARR,WBD_19_HU2,19060202,AK,Northwest Coast
BART,WBD_01_HU2,01060002,"ME,NH",Saco River
BLAN,WBD_02_HU2,02070007,"MD,VA,WV",Shenandoah
BLAN,WBD_02_HU2,02070004,"MD,PA,VA,WV",Conococheague-Opequon
BLUE,WBD_11_HU2,11090202,OK,Lower Canadian-Walnut
BLUE,WBD_11_HU2,11140104,OK,Clear Boggy
BLUE,WBD_11_HU2,11130303,OK,Middle Washita
BLUE,WBD_11_HU2,11130304,OK,Lower Washita
BLUE,WBD_11_HU2,11140102,OK,Blue
BONA,WBD_19_HU2,19080309,AK,Tolovana River
BONA,WBD_19_HU2,19080402,AK,Beaver Creek
CLBJ,WBD_12_HU2,12030101,TX,Upper West Fork Trinity
CLBJ,WBD_12_HU2,12030104,TX,Denton
CPER,WBD_10_HU2,10190008,"CO,WY",Lone Tree-Owl
CUPE,WBD_21_HU2,21010003,PR,Culebrinas-Guanajibo
DEJU,WBD_19_HU2,19080304,AK,Delta River
DEJU,WBD_19_HU2,19080303,AK,Healy Lake-Tanana River
DELA,WBD_03_HU2,03160113,AL,Lower Black Warrior
DELA,WBD_03_HU2,03160201,"AL,MS",Middle Tombigbee-Chickasaw
DELA,WBD_03_HU2,03160106,"AL,MS",Middle Tombigbee-Lubbub
DSNY,WBD_03_HU2,03090101,FL,Kissimmee
GRSM,WBD_06_HU2,06010107,"NC,TN",Lower French Broad
GRSM,WBD_06_HU2,06010106,"NC,TN",Pigeon
GRSM,WBD_06_HU2,06010202,"GA,NC,TN",Upper Little Tennessee
GRSM,WBD_06_HU2,06010203,"NC,TN",Tuckasegee
GRSM,WBD_06_HU2,06010201,"NC,TN",Watts Bar Lake
GUAN,WBD_21_HU2,21010004,PR,Southern Puerto Rico
GUIL,WBD_21_HU2,21010002,PR,Cibuco-Guajataca
GUIL,WBD_21_HU2,21010003,PR,Culebrinas-Guanajibo
GUIL,WBD_21_HU2,21010004,PR,Southern Puerto Rico
HARV,WBD_01_HU2,01080204,MA,Chicopee River
HARV,WBD_01_HU2,01080202,"MA,NH",Millers River
HEAL,WBD_19_HU2,19080308,AK,Nenana River
HOPB,WBD_01_HU2,01080204,MA,Chicopee River
JERC,WBD_03_HU2,03130008,"FL,GA",Lower Flint
JERC,WBD_03_HU2,03130009,GA,Ichawaynochaway
JORN,WBD_13_HU2,13030102,"MX,NM,TX",El Paso-Las Cruces
JORN,WBD_13_HU2,13030103,NM,Jornada Draw
KONA,WBD_10_HU2,10270101,KS,Upper Kansas
KONA,WBD_10_HU2,10270205,"KS,NE",Lower Big Blue
KONZ,WBD_10_HU2,10270102,KS,Middle Kansas
KONZ,WBD_10_HU2,10270101,KS,Upper Kansas
LAJA,WBD_21_HU2,21010003,PR,Culebrinas-Guanajibo
LAJA,WBD_21_HU2,21010004,PR,Southern Puerto Rico
LENO,WBD_03_HU2,03160201,"AL,MS",Middle Tombigbee-Chickasaw
LIRO,WBD_07_HU2,07050002,"MI,WI",Flambeau
LIRO,WBD_07_HU2,07070001,"MI,WI",Upper Wisconsin
MCDI,WBD_10_HU2,10270102,KS,Middle Kansas
MCDI,WBD_10_HU2,10270101,KS,Upper Kansas
MCRA,WBD_17_HU2,17090004,OR,Mckenzie
MLBS,WBD_02_HU2,02080201,"VA,WV",Upper James
MLBS,WBD_05_HU2,05050002,"VA,WV",Middle New
MOAB,WBD_14_HU2,14030005,"CO,UT",Upper Colorado-Kane Springs
NIWO,WBD_10_HU2,10190005,CO,St. Vrain
NIWO,WBD_14_HU2,14010001,CO,Colorado Headwaters
NOGP,WBD_10_HU2,10130101,ND,Painted Woods-Square Butte
NOGP,WBD_10_HU2,10130203,ND,Lower Heart
NOGP,WBD_10_HU2,10130102,"ND,SD",Upper Lake Oahe
OAES,WBD_11_HU2,11120303,OK,Lower North Fork Red
OAES,WBD_11_HU2,11130302,OK,Upper Washita
OKSR,WBD_19_HU2,19060402,AK,Sagavanirktok River
OKSR,WBD_19_HU2,19060401,AK,Kuparuk River
ONAQ,WBD_16_HU2,16020304,UT,Rush-Tooele Valleys
ONAQ,WBD_16_HU2,16020305,UT,Skull Valley
ORNL,WBD_06_HU2,06010207,TN,Lower Clinch
OSBS,WBD_03_HU2,03110206,FL,Santa Fe
OSBS,WBD_03_HU2,03080102,FL,Oklawaha
OSBS,WBD_03_HU2,03080103,FL,Lower St. Johns
PRIN,WBD_12_HU2,12030101,TX,Upper West Fork Trinity
REDB,WBD_16_HU2,16020204,UT,Jordan
RMNP,WBD_10_HU2,10190006,CO,Big Thompson
RMNP,WBD_10_HU2,10190005,CO,St. Vrain
SCBI,WBD_02_HU2,02080103,VA,Rapidan-Upper Rappahannock
SCBI,WBD_02_HU2,02070005,"VA,WV",South Fork Shenandoah
SCBI,WBD_02_HU2,02070007,"MD,VA,WV",Shenandoah
SERC,WBD_02_HU2,02060006,MD,Patuxent
SERC,WBD_02_HU2,02060004,MD,Severn
SJER,WBD_18_HU2,18040001,CA,Middle San Joaquin-Lower Chowchilla
SJER,WBD_18_HU2,18040007,CA,Fresno River
SJER,WBD_18_HU2,18040006,CA,Upper San Joaquin
SOAP,WBD_18_HU2,18030010,CA,Upper King
SOAP,WBD_18_HU2,18040006,CA,Upper San Joaquin
SRER,WBD_15_HU2,15050302,AZ,Rillito
SRER,WBD_15_HU2,15050301,"AZ,MX",Upper Santa Cruz
STEI,WBD_07_HU2,07070001,"MI,WI",Upper Wisconsin
STEI,WBD_07_HU2,07050003,WI,South Fork Flambeau
STER,WBD_10_HU2,10190012,"CO,NE",Middle South Platte-Sterling
STER,WBD_10_HU2,10250002,"CO,KS,NE",North Fork Republican
STER,WBD_10_HU2,10250005,"CO,NE",Frenchman
SYCA,WBD_15_HU2,15060105,AZ,Tonto
SYCA,WBD_15_HU2,15060203,AZ,Lower Verde
TALL,WBD_03_HU2,03160113,AL,Lower Black Warrior
TALL,WBD_03_HU2,03150202,AL,Cahaba
TEAK,WBD_18_HU2,18030010,CA,Upper King
TOOL,WBD_19_HU2,19060402,AK,Sagavanirktok River
TOOL,WBD_19_HU2,19060304,AK,Lower Colville River
TOOL,WBD_19_HU2,19060401,AK,Kuparuk River
TREE,WBD_07_HU2,07070001,"MI,WI",Upper Wisconsin
TREE,WBD_07_HU2,07070002,WI,Lake Dubay
UKFS,WBD_10_HU2,10270104,"KS,MO","Lower Kansas, Kansas"
UNDE,WBD_04_HU2,04020102,"MI,WI",Ontonagon
UNDE,WBD_04_HU2,04020101,"MI,WI",Black-Presque Isle
UNDE,WBD_07_HU2,07050002,"MI,WI",Flambeau
WLOU,WBD_14_HU2,14010001,CO,Colorado Headwaters
WOOD,WBD_10_HU2,10130103,ND,Apple Creek
WOOD,WBD_10_HU2,10160002,ND,Pipestem
WREF,WBD_17_HU2,17080002,WA,Lewis
WREF,WBD_17_HU2,17070105,"OR,WA",Middle Columbia-Hood
WREF,WBD_17_HU2,17080001,"OR,WA",Lower Columbia-Sandy
YELL,WBD_10_HU2,10070001,"MT,WY",Yellowstone Headwaters
